   1.9660000e+03   8.0000000e+00
   1.9670000e+03   3.9000000e+01
   1.9680000e+03   2.3000000e+01
   1.9690000e+03   6.4000000e+01
   1.9700000e+03   1.0000000e+01
   1.9710000e+03   5.7000000e+01
   1.9720000e+03   6.2000000e+01
   1.9730000e+03   3.3000000e+01
   1.9740000e+03   6.6000000e+01
   1.9750000e+03   1.4500000e+02
   1.9760000e+03   1.1600000e+02
   1.9770000e+03   2.9100000e+02
   1.9780000e+03   3.5600000e+02
   1.9790000e+03   4.2500000e+02
   1.9800000e+03   6.1400000e+02
   1.9810000e+03   9.7400000e+02
   1.9820000e+03   1.0060000e+03
   1.9830000e+03   1.3650000e+03
   1.9840000e+03   1.6980000e+03
   1.9850000e+03   1.9500000e+03
   1.9860000e+03   2.9330000e+03
   1.9870000e+03   3.9920000e+03
   1.9880000e+03   4.9650000e+03
   1.9890000e+03   6.0550000e+03
   1.9900000e+03   6.8630000e+03
   1.9910000e+03   7.7180000e+03
   1.9920000e+03   9.2600000e+03
   1.9930000e+03   1.0538000e+04
   1.9940000e+03   1.1088000e+04
   1.9950000e+03   1.1223000e+04
