 1   F  21.0000   20.0000   21.5000   23.0000
 2   F  21.0000   21.5000   24.0000   25.5000
 3   F  20.5000   24.0000   24.5000   26.0000
 4   F  23.5000   24.5000   25.0000   26.5000
 5   F  21.5000   23.0000   22.5000   23.5000
 6   F  20.0000   21.0000   21.0000   22.5000
 7   F  21.5000   22.5000   23.0000   25.0000
 8   F  23.0000   23.0000   23.5000   24.0000
 9   F  20.0000   21.0000   22.0000   21.5000
10  F  16.5000   19.0000   19.0000   19.5000
11  F  24.5000   25.0000   28.0000   28.0000
12 M  26.0000   25.0000   29.0000   31.0000
13 M  21.5000   22.5000   23.0000   26.5000
14 M  23.0000   22.5000   24.0000   27.5000
15 M  25.5000   27.5000   26.5000   27.0000
16 M  20.0000   23.5000   22.5000   26.0000
17 M  24.5000   25.5000   27.0000   28.5000 
18 M  22.0000   22.0000   24.5000   26.5000
19 M  24.0000   21.5000   24.5000   25.5000
20 M  23.0000   20.5000   31.0000   26.0000 
21 M  27.5000   28.0000   31.0000   31.5000
22 M  23.0000   23.0000   23.5000   25.0000
23 M  21.5000   23.5000   24.0000   28.0000
24 M  17.0000   24.5000   26.0000   29.5000
25 M  22.5000   25.5000   25.5000   26.0000
26 M  23.0000   24.5000   26.0000   30.0000
27 M  22.0000   21.5000   23.5000   25.0000

