   5.0000000e+01   2.1428473e+01   2.1280906e+01   9.3130972e+00   1.1520408e+01   5.2867224e+00   2.3972469e+00
   2.5000000e+02   2.7452346e+01   2.9153005e+01   2.3479860e+01   3.3449037e+01   2.3522787e+01   2.6083927e+01
   4.5000000e+02   5.3066070e+01   6.9106936e+01   4.0532754e+01   5.1503244e+01   4.2058037e+01   3.7733404e+01
   6.5000000e+02   7.5500347e+01   8.2367114e+01   5.9996811e+01   9.2323370e+01   9.5424210e+01   6.0601144e+01
   8.5000000e+02   1.2257042e+02   1.3479043e+02   6.8705020e+01   1.1340059e+02   1.0868891e+02   9.8955132e+01
   1.0500000e+03   1.4156478e+02   1.7271298e+02   9.6838036e+01   1.5610075e+02   1.5078671e+02   1.1651022e+02
   1.2500000e+03   1.6799531e+02   2.0683308e+02   1.0435376e+02   1.8672608e+02   1.6929151e+02   1.3563423e+02
   1.4500000e+03   1.8693034e+02   2.2671633e+02   1.1606682e+02   2.0841038e+02   1.9355909e+02   1.5853836e+02
   1.6500000e+03   1.8197759e+02   2.3020768e+02   1.3041698e+02   2.2210936e+02   1.9172666e+02   1.4937855e+02
   1.8500000e+03   2.1860145e+02   2.4267592e+02   1.4492710e+02   2.1766466e+02   1.9269587e+02   1.6430066e+02
